text,char_count
"I think because he believes men should be engineers or mechanics, and women should be the ones doing things like fashion or beautification. No, it does not. But everyone says that is how things are done here in our community. I guess to keep order?",248
"She says she didn't have a choice, so why should I? She thinks this is the way to protect me. I feel like I am running out of time. Every time a car comes to the house, I wonder if it is someone coming to talk to my father about me. My teacher, Mr.",248
"They don’t see the kayayo girls sleeping in the streets or the boys being arrested for petty crimes. I would tell him to create a space where we can play and talk without being harassed. A place where we can learn skills, not just work for pennies.",248
"How do you even start those conversations? It feels like the culture here makes it hard to talk about these things openly. I want to be a good friend, but I do not want to be the one preaching to them. How do I help without sounding like a teacher?",248
"I don't expect the whole village to change overnight, but I can start with my own family. I just want to know if you think I can actually make a difference. Sometimes the problems feel too big for one person. That makes me feel less lonely in this.",248
"But he laughed and said cooking is for women, and that if I spend my time in a kitchen, I will never be seen as a strong or capable man in this community. I know it is not. Look at the best chefs in Accra or even the guys who run the top chop bars.",248
"Even things about relationships or how boys and girls should act? My friends say boys have to be tough and not show feelings. Is that right? I sometimes want to cry when things are hard, but I feel like I can't. Do you talk to girls about this too?",248
"Good afternoon, Aunty. I am okay, just a bit tired after school. Yes, my mother told me a little bit, but honestly, it makes me feel shy. People in my village say it is a sign that a girl is becoming a woman, but they also say you have to hide it.",247
"My mother says in the Northern regions, it is even worse. That sounds like a cycle that never ends. If the rates are going down, why does it feel like it is happening to everyone I know? I don't want to be a statistic, Aunty. I want to be a nurse.",247
"I just wanted to fit in with my classmates. If I don't know how to change these settings, who should I ask? I think I will start by going through my apps tonight and turning off location services for the ones that don't need it. I hear you, Aunty.",247
"Everyone in school talks about having a certain physique, or being tall, or having a certain complexion. It feels like if you do not look that way, you are just not the ideal guy. These are very different from what I see on the billboards in town.",247
"My mother cries sometimes, but she says she cannot go against my father because he is the head of the house. Everyone in my village says that if I am not married soon, I will bring shame to the family. They talk about puberty rites and traditions.",247
"I am not ready for that, but I do not want them to think I am weak. Sometimes older boys at the park try to push me around or make jokes about how I look. It makes me feel small. Does it ever stop? Will I always feel this anxious about how I look?",247
"Can we talk about what is expected of me as I move toward 16? More schoolwork, more responsibility, and people asking what I want to do with my life. It feels like a lot of weight. I want to make sure I am doing it for me, not just for my parents.",247
"I just sit and wonder if it will ever stop. Sometimes I do feel like hitting someone when I am frustrated, like at school. I feel scared of myself. What does that mean exactly? So, because he does it, I am destined to do it too? I want to stop it.",247
"You mentioned something about monitoring, but honestly, sitting down with a long form and ticking boxes sounds like homework. A game? How can tracking our health and safety activities be a game? Like taking pictures of what we do in the community?",247
"It is better than keeping everything inside and then making a mistake because I was confused. You mean like when those older boys try to get me to take stuff with them? I know it’s wrong, but sometimes I feel like I have to fit in to be respected.",247
"I think I am starting to understand. Life is not meant to be a straight line to the top, is it? So, if I hit a snake, I shouldn't just quit? I feel a bit more confident now. I think I can handle the pressure better if I keep these lessons in mind.",247
"We hear about them, but it feels like a warning that doesn't apply to the people who are actually pushing us towards it. They say marriage is a way to be safe, but I don't see it that way. Exactly. And then there is the talk about sexual violence.",247
"Does this HelpLine also help the person who is being harassed, or is it just for people who see it happening? I feel a bit better knowing there is a number I can call. But what about the community? Everyone seems to think this is just how life is.",247
"How do I do that when everyone around me is telling me I am nothing? I want to believe you, Aunty, but it is hard when the reality is so loud. Maybe my English teacher. She is strict, but she sometimes tells us to dream big. I would be so nervous.",247
I feel like I have to hide my worries because I don't want to be seen as weak. It makes the changes in my body and mind even more confusing. People in the community say we are just stubborn. They say teenagers are naturally argumentative or risky.,247
My auntie told me I should stop playing football with the boys in the street. She says it is not proper for a girl my age to be running around like that. I miss just being a child. Now I have to wake up early to fetch water and cook before school.,247
"Things like the changes in my body, and what to do when girls approach me, or when I feel pressured to do things I am not ready for. No way, Uncle. My father would just say I am being disrespectful or that I am too young to talk about such topics.",247
"I just thought they were being friendly. I guess I have been a bit too open. I just like the feeling of having people to talk to. What about those chain emails or messages people send saying I should share them with ten friends? Yes, all the time.",247
"What if it happens with someone we know? Sometimes people promise us gifts in exchange for favors. Those are diseases you get from sex, right? But everyone at school talks about it like it is normal. My mom says I should eat more green vegetables.",247
"Are they protected from this? It feels like there are so many rules. Can we talk about how to deal with this if it happens to a friend? I will be the friend who is worried, and Akosua can be the one giving advice. Akosua, I do not know what to do.",247
It is not stubborn to want to protect your own future. Have you spoken to your mother about this? My mother says she cannot go against my father. She is afraid of what the community will say if I do not go through with it. This is a complex issue.,247
"Is it bad to challenge authority? My mother thinks I am just being rude. So, I am not just being a difficult teenager? I do find myself thinking about the future a lot more. Like, what I want to do after school. I want to be a mechanical engineer.",247
"It is not just about the girls, is it? I remember you mentioned DOVVSU last time. What if someone is already being hurt? I feel better knowing there are professionals who can help. I want to make sure I am doing the right thing. Thank you, Aunty.",246
"Sometimes I think it is my fault. Maybe I did something to invite it? My friends at school talk about boys, but they do not talk about uncles doing this. I feel like I am the only one. I am terrified of what he will do if he finds out I told you.",246
"I felt like I was the only one. It feels like a lot to handle all at once. Now that I know I can ejaculate, does that mean I have to be more careful? That sounds heavy. I am still just a boy. So, being a man isn't just about the physical changes?",246
"I feel like if I tell my parents, they will just take my phone away completely. Okay, I am listening. What should I change about how I use my social media accounts? I think I have done that, but sometimes people I do not know still send requests.",246
"I don't want my child to grow up like me, struggling and feeling ashamed. If I am pregnant, does that mean I am destined to be poor forever? But the shame. How do I face my friends? I just wish I had known better. I wish I hadn't listened to him.",246
"I can tell her that I want to be a successful, educated woman who brings honor to the family through my achievements. And maybe I can ask her if we can talk to the pastor together? I feel a little braver now, Aunty. Thank you for listening to me.",246
Sometimes I skip lunch or walk long distances to save the transport fare just to put it into the betting slips. I never thought about it like that. I just thought I was being strategic. But I have been losing more than I have been winning lately.,246
"How does it affect me as a boy, then? I see. So, you are saying that rushing into marriage or fatherhood is not just a personal choice, but something the society should be helping us avoid? I never thought about it as a collective responsibility.",246
"My grandmother mentioned it once, and I got so scared. Can I really say no to my grandmother? I feel like I am learning a new language today. Everything is so different from what I was taught. What do I do when I go home today? Thank you, Auntie.",246
I will try to talk to him about the apprenticeship in a calm way. Are there any stories I can tell him? Maybe stories of successful women in our region? I know a woman who runs a carpentry business. She is very respected. Maybe I can mention her.,246
"It involves poverty, gender inequality, and community pressure. It is not something you should have to face alone. Who can I even talk to? If I tell anyone, they might just say I have to obey my parents. We have resources and people who can help.",246
"They think if girls become too independent, the community will fall apart. I think it is the belief that things have to be this way because they have always been this way. Tradition is used as a shield to keep people quiet. We start by observing.",246
"Back then, I thought protection meant just staying inside the house. Now I realize that protection is also about knowing who to call and having friends who look out for each other. It feels better than just hiding. I feel like I have a voice now.",246
"Good morning, Kofi. How are you finding the weather today? It is quite hot, isn't it? Good morning, Uncle. Yes, the sun is very strong today, especially since I had to walk from the other side of the village. I appreciate you making that journey.",246
"My friends and I sometimes skip sports when we have it because we are afraid of accidents. But the boys, they tease us if they suspect anything. If they knew, would they be nicer? My brother is very loud. I would die of embarrassment if he knew.",245
She still cries when it is that time of the month. She says the pain is too much. And what about when I want to have a family one day? Will it really be that hard? It sounds so dangerous. Why would they want that for me? I feel so much pressure.,245
"If it were just about our bodies, then every culture would do the same thing. But they don't. But Auntie, if I tell my father that his rules are just social constructs, he will think I am being disrespectful. It feels like a relief to know that.",245
"She would still be short of money. So, equity is about the result, not just the action? But does that mean we are giving girls special treatment? Some of my friends say that is unfair to us boys. Yes, I have heard my grandmother talk about that.",245
I am always scared someone will see them in the bin. Where should I put them? Sometimes I see them left on the floor in the school toilets. I usually just throw them in the refuse pile outside. I will make sure to find the right bin from now on.,245
"I am afraid they might tell me to just focus on what is expected of a girl, like cooking the perfect kontomire stew or helping with the fish. Do you really think they would listen, though? Sometimes it feels like the norms here are set in stone.",245
"I thought I was the only one who felt this way. It feels like a big responsibility, though. What if I fail? What if people are right and I am not cut out for it? That makes sense. I suppose I should focus on the knowledge and the training first.",245
"Yes, some of the boys are getting deeper voices and acting tougher, while the girls are quiet and seem to have so many rules placed on them. My mother always tells my sister that a good girl stays home, helps with cooking, and doesn't talk back.",245
"We are just going to chat about life in the village, school, and how things are changing for young people like you. Life is alright, I suppose. But sometimes it feels like the elders don't really hear what we are saying. Tell me more about that.",245
"Now, tell me, do you think there is enough respect between the boys and the girls in your school? Most of the time, yes. But sometimes, the boys think they can just say whatever they want to the girls, and the girls are supposed to just take it.",245
"Will they listen to a counsellor? They think they know what is best for their survival. If I go back, I want to know that I won't be treated like a slave by the teachers or bullied by the boys. Thank you, Maame. I feel a little bit lighter now.",244
"For us, it is about being strong, maybe proving we can make money, or sometimes just following the group so we don't look weak. It is very hard. If you say no, they call you names. They say you are acting like you are better than everyone else.",244
"Sometimes I feel tired, and I realize I haven't talked to my mother all evening because I was busy scrolling. It says ""Never share your location or house address."" I think I learned that lesson the hard way with that stranger. Okay, let me see.",244
"I usually just have some porridge in the morning, and then maybe some banku or rice in the afternoon if I have money. Not really. My mother works hard, but we mostly just eat what is affordable, which is usually just the carbohydrates. Anaemia?",244
"And at home, I feel like I am always being compared to my cousins. How do you build resilience when you feel like you are already broken? It is hard to believe that when everything around me says otherwise. I do not really have time for myself.",244
"She wants to go to SHS, but her mother says she is already grown enough to find a husband who can support her. Exactly. Her brother doesn't have to worry about marriage. He is encouraged to be out late, to be brave, and to not show any emotion.",244
So I just looked straight ahead at the tree you marked as the finish line. Some of my friends who don't want to study. They ask me to go hang out at the video center or follow girls around when I should be doing my homework. They call me names.,244
"I know they exist, but people treat them like they ruin the experience. HIV feels like such a big, scary topic. Is it still a major problem for people our age? So, the goal is to reach zero by 2030, right? I think I heard that in a news report.",244
"Kojo, remember that the internet is a shared space, and you have a right to use it without being harassed. I think I am going to try the blocking part today when I get home. That is a great start. Just remember to stop, think, and then connect.",244
I think many people here do not know that. Can you come and speak to the youth group at the church? They would listen to you. I just want my friends to have a better future. Should we talk about STIs too? Some girls are afraid to ask questions.,244
"I feel better already. Maybe we can talk about how to deal with pressure from friends. I want to be a good man, but sometimes it feels like the path is not clear. Will we meet at this same time? Good, because my mother worries if I am out late.",244
"I look at the world now and I see so many things that are unfair, like poverty in our neighborhood, and I want to fix them. But when I try to talk to my father about these things, he just tells me to focus on my books and stop talking nonsense.",244
"I want to finish my schooling. I want to be a nurse. People say it is eighteen, but in my village, many girls are married off much younger than that. But my mother says it is not a formal marriage, just an arrangement so I can be looked after.",243
"My friends say that if you do not have a girlfriend or have sex, you are not a real man. But I worry about things like unwanted pregnancies or even STIs. Sometimes I feel like I do not have anyone to talk to who understands without judging me.",243
"Many girls in my school use old cotton fabric, and some use pads if they can afford them. But some even use toilet rolls. I will tell them. Sometimes they don't have money for pads, so they think paper is the only way. What about the disposal?",243
"If I became a nurse, I could help my community in a way that really matters to me. Do you think my father would ever understand? He is very traditional. I could try to explain why I want to help people. I feel a bit lighter talking about this.",243
"So, it could be any time now? I am nervous about it happening while I am in class. Does this mean I am becoming a woman? Does it mean I can have a baby now? That is a scary thought. I don't think I am ready for that kind of responsibility yet.",243
"Sometimes the boys at school make jokes about these things, and it makes me feel very uncomfortable. My mother is busy with work, but she told me I could come to you if I had questions. Are there other things I should expect as I keep growing?",243
"Sometimes it is hard to say no if you are afraid of losing the person. What is SGBV? Does that mean hitting someone is part of it? I never thought about pressure being a form of violence. What if someone is already married, like a young bride?",243
That is an important observation about gender disparities. How does that make you feel when you see your brother relaxing while you work? It makes me angry. I feel like my education is secondary to my household chores. I hear your frustration.,243
"Okay, let's see how this goes. I need to make sure I don't sound disrespectful. If I can change my father's mind, maybe I can change the whole house. I will help with the cleaning first, then talk to him. Sister, can we talk later? About what?",243
"Sometimes it feels unfair, but that is just how things have always been. I think she gets tired of it, but she does not say much because she knows she will be scolded. Maybe we should all share the chores regardless of who is a boy or a girl.",242
"My mother told me I am a woman now, so I have to be careful, but she does not explain the details. I have heard that, but people do not like to talk about it openly. It feels like such a heavy burden to carry, Auntie. How can it be different?",242
"He does not really talk about the body changes or the feelings. I would like that. I heard some of the girls at school talking about menstruation and hygiene, and I felt embarrassed because I did not know enough to even join the conversation.",242
"If a boy starts doing women's work, people will talk. So, you are saying the chores are not because I am a man, but because society says so? Inequalities? You mean like how Ama has less time to study than I do? I never thought of it that way.",242
"It feels like everyone is pushing us to be adults before we are actually ready. Exactly. And it is confusing because I have these new feelings, but I do not know what to do with them. What kind of information? I am scared of making a mistake.",242
"I just felt like if I did not do what they did, I would be left out. But what else am I supposed to do? When I am at home, my dad is always shouting about money or my performance. School is just as bad. Sometimes I just want to escape it all.",242
"But if I had stepped in, they would have probably told me to mind my own business. Or worse, the man might have turned his anger on me. Everyone here seems to think that if you report these things, you are just causing trouble for the family.",242
"Someone who is responsible, kind, willing to learn, and respects others, but also has their own goals. I wish more people in my community thought like that. It feels like a big responsibility, but I think I am ready to try. Thank you, Auntie.",242
"Because if he tells my parents that I spoke to him, they might pull me out of school immediately to prevent me from talking to anyone else. Is it really violence? My mother says it is just the way we live here. I never thought of it that way.",242
"Good afternoon, Auntie. It has been busy, especially with school work and trying to stay connected with my friends online. Yes, it is very helpful, but sometimes it feels a bit overwhelming with all the messages and notifications I get daily.",242
"It makes me forget about everything else. I can spend hours just sketching. I have thought about it, but my friends would laugh at me for doing something like that. Because they think it is for the younger kids or for people who are not cool.",242
"What if I run into someone I know? A neighbor or a teacher? It would be a disaster. The gossip in our community is relentless. If they saw me there, it would be all over the neighborhood by evening. Do the health workers even care about that?",242
"I feel much more empowered now. I thought I was just being a regular user, but I see I have to be a guardian of my own space. Can we talk more about how to handle situations where someone I actually know in real life tries to bully me online?",242
"I mean that child marriage is a violation of your rights. Your education is the most powerful tool you have to change your future and the future of your family. If I refuse, my father will be angry. He says I am being stubborn and ungrateful.",242
"I suppose being a ""man"" also means standing up for others, even when it is not popular. I am. It feels like I am finding my voice. I feel like I am finally taking charge of my life, just like my father wanted, just not in the way he expected.",242
"You can advocate for your education while remaining respectful. I will try, but what about the pressure from my friends? They talk about boys and things I am not sure I understand. That leads us to the topic of sexual and reproductive health.",242
"I have heard the teachers talk about it, but it sounds like just another school lesson. It feels like I am stuck in the middle. I am not a child anymore, but they treat me like one. My sister is thirteen, and she gets treated differently too.",242
"Good afternoon, Aunty. It has been okay, I suppose, but things at home have been a bit tense lately. It is just my father. He keeps insisting that I should stop helping my mother with the kitchen chores because he says it is not a man’s job.",241
"It makes me want to stop coming to school entirely. My mother says education is my only way out of poverty, but how can I focus when I feel so unsafe? Sometimes I think if I wore different clothes or acted less friendly, maybe he would stop.",241
"It makes the whole society stronger, right? What about things like politics? I saw on the news that there is a push for more women in parliament. So, if we just let things happen naturally, it might take forever for women to have a fair say?",241
"No, I think it is different for the girls. Many people think girls don't need to aim so high because they will just get married and start a family. Not really. If a girl says she wants to be an engineer, people look at her like she is crazy.",241
"They think if you give a young person space, they will go wayward. I think it is because they are looking for someone who actually listens. If home is just a place of shouting, they will find someone outside who acts like they care. Exactly.",241
"My friends are talking about it too, but I am shy to ask my parents. No, I feel like they might think I am being disrespectful or asking things I am not supposed to know yet. What kind of information? Is it just about the hair and the voice?",241
She says she is tired of doing everything alone while I am told to go sit outside or study. He says that is how he was raised in the village. He believes a man should not be seen holding a broom or washing plates. I think they should change.,241
"What if he forces her to marry someone just to get her out of the house? My mother is usually quiet, but I think she supports Adwoa secretly. My mother has always been a hard worker, but she has never had any influence over household income.",241
"If we started appreciating people for what they do or how they treat others instead of just what they look like. It would help if adults told us that we are enough just as we are. For girls, the expectation is to be beautiful and submissive.",241
"At first, I tried to tell them to stop, but that just made them send even more messages. Now I just feel like hiding. It is completely normal to feel that way, but hiding will not stop them. Have you considered what your next step should be?",241
"She thinks the man must always have the final say. It makes me sad because she is so smart. She is the one who actually manages the family budget, yet she acts like my father does it all. I don't want a marriage where my partner is silenced.",241
"Just yesterday, a shopkeeper was teasing a boy for wanting to study nursing. He called him a girl. He just walked away, looking ashamed. It really bothered me. I could have said, ""Nurses save lives, what does his gender have to do with that?",241
That makes sense. They probably have their own worries. What about the safety part? Everyone talks about staying safe but doesn't explain how. What if someone older tells me to do something that feels wrong? Even if they are an elder? I see.,241
"I want to be the one to decide who I am and how I live my life. Is it really true that it is a violation of my rights? My grandmother says that if I do not do it, no man will want to marry me. She says I will be an outcast in our community.",240
"I do not want to be the odd one out, but I also do not want to get pregnant and lose my chance at school. My mother says if I get pregnant, that is the end of my education. Is it true? Can't girls go back to school? I want to finish school.",240
"Is it really my choice? Even if I am young? I think I understand, but it is hard when you are surrounded by people who think otherwise. Thank you, Aunty. I feel a bit better knowing I am not the only one feeling this way. I would like that.",240
"Some of my friends are already talking about getting married or starting families, and the elders seem to encourage it as a sign of maturity. I have heard the name, but I do not really know what they do. Is it not just about laws for girls?",240
It would feel like I am finally taking control of my time. I think I could tell my aunt that I want to attend the evening study group at the community center. I will tell her that I want to improve my grades so I have more options later on.,240
"Men or even young people get drunk and they stop caring about their responsibilities. It causes fights and sometimes they spend all their money on alcohol instead of food or school fees. Yes, it brings a lot of shame and stress to the home.",240
"We talk about music, football, and school. Why would they lie? Well, sometimes people ask where I live or what school I attend. Is that a problem? Web Wise? That sounds like something from a textbook, Auntie. I never thought of it that way.",240
Sometimes they promise luck or rewards if I send them to my friends. Sometimes I send them on because I do not want to be the one to break the chain. Throw it out? You mean delete it? I never thought about viruses being in a simple message.,240
"I also feel like my emotions are all over the place. One minute I am happy, and the next I want to cry for no reason. My period hasn't started yet, but I have heard the older girls at school talk about it. How will I know when it is coming?",240
"We need to teach young people that their value is not in their skin tone or their muscles. It should change. It is just a social construct, right? If we decide that being kind and smart is the new ideal, then everyone would be much happier.",240
"Yes, like the idea that a girl should be submissive to elders or men. If she is taught that she must always obey, she might not report if someone touches her inappropriately because she thinks she has to be respectful. It makes me hesitate.",240
"I do not know. I thought about just deleting my account, but I need it to talk to my cousins overseas. You do not necessarily have to delete your account. Do you know that there are ways to protect yourself while still keeping your profile?",240
So I don't have to keep everything they taught me? That feels like a big responsibility. I feel like I am finally understanding why I have been so moody. Like I am observing myself from the outside? I think I am doing better than I thought.,240
"I realized that if I drink, I might do something stupid, like getting into a fight or making a choice I cannot take back. I went to the park and practiced my free kicks. It felt better than feeling sick the next morning. To be honest, yes.",239
"The elders in the village support my father. I am afraid if I report this, my family will be disgraced. Do you think I am weak for being scared? My friend Adjoa dropped out because she got pregnant. Now she is married and lives in a shack.",239
"But the clinic near my house, I feel like they would tell my parents if I went there. If I have to tell my parents, I would rather just stay silent and risk not knowing what to do. It feels like the system is set up to keep us in the dark.",239
"There was this one time a stranger messaged me, acting like they wanted to be friends. They kept asking where I lived and what school I attended. It felt a bit strange. No, I was afraid if I told my parents, they would take the phone away.",239
"It has been okay, Maame, but honestly, things have been a bit tense at home lately. It is about chores and my sister, Ama. My father keeps saying I should stop helping in the kitchen because it is not for boys. Ama is even more frustrated.",239
"A boy is supposed to be strong, provider, not cry, and definitely not do house work. She is expected to be quiet, obedient, and learn how to run a home so she can be a good wife one day. I see it now. It limits what she can dream of doing.",239
"It makes me wonder if we can ever change these things. If everyone expects us to act a certain way, how do we stop? But if I go home and tell my father that his views are outdated, he will just get angry. Like continuing to help my sister?",239
"I feel a bit more hopeful now. I thought I was just weird for feeling this way. Thank you, Auntie. Can we talk more about the pressure boys face next time? I really want to understand why we are forced to prove our masculinity through sex.",239
"We are told to be responsible, but we are not given the tools or the safe spaces to be responsible. So, what is the solution then? If I cannot tell my parents, I have no money, and I am scared of the clinic staff, where does that leave me?",239
"It is when you start having feelings you did not have before. It is a confusing time because sometimes I feel like I am still a boy but my body looks different. My mother said it is when girls start their monthly cycle. Okay, let us start.",239
"If you are not the ideal, you are teased. People make jokes about your size or your skin color. It makes you want to hide or change things about yourself just to fit in so the teasing stops. Maybe if we stopped talking about looks so much.",239
"I feel like I am becoming a man, but I still feel like a child sometimes. I am glad I have this place to talk. It makes me feel less alone. I have a question about values. How do I decide which ones are mine and which ones are my parents'?",239
"When you say they don't hear you, is it about specific issues or just general life? It is about everything. They think because we are young, we don't know anything about the world or about how to protect ourselves. That sounds frustrating.",239
"Well, in my neighborhood, people think boys should be doing certain things and girls should be doing others. For example, if there is a problem at home, my sister is expected to clean and cook, while I am often told to go out or just sit.",238
"We have, but sometimes the boys just make jokes instead of learning the real facts. I think it is when your body starts changing, like growing hair and your voice deepening, right? Not really, I just know they have that time of the month.",238
"She says that back home, girls are not considered complete until they have gone through the cutting. She calls it our heritage. Honestly, Auntie, I am scared. I have heard stories from the older girls in my school about how painful it is.",238
"How can I feel better about myself? Can boys really be supportive? They are usually the ones teasing us. I wish the boys in my class understood that. I do try to do that, but it is hard when the whole class is watching. Thank you, Auntie.",238
"I find myself looking at girls differently now, and it makes me feel strange. Sometimes I am excited, but mostly, I am just confused. Yes, but we don’t really talk about it properly. They just brag about things they haven’t even done yet.",238
"I can't tell my mother because she will say I am being difficult or that I should just stay home. I want to know how to protect myself, not just from pregnancy, but from people who don't respect my boundaries. Not really. They are elders.",238
"But the girls are asking me things like why it doesn't come on the same day for everyone. So, how can they know when it is coming? Some girls say they get caught by surprise and it ruins their clothes. I will tell them about the calendar.",238
"I never thought about it like that. I thought it was just the way things are. But if I speak up, I might be labeled as stubborn or disrespectful. I want to be an ideal person, but I don't want to fit into the box they have created for me.",238
"It has been okay, Auntie. A bit busy with school and helping my uncle at the shop in the evenings. Is it a game? You mentioned something about a board game when I arrived. Like life? That sounds serious. And the snakes? What do they mean?",238
"I have heard girls at school whispering about things, but I do not know if I can trust what they say. There is a teacher I like, but I am afraid to tell her about the boys bothering me. What if they tell my parents and it causes trouble?",237
"I like football, but I haven't played in a long time. I feel like I am just trying to survive the day. Do you think I can really change? I want to try. I don't want to end up like some of the guys I see at the station. And if they don't?",237
"How long is a cycle supposed to be? So if I track it, I can be prepared? I feel much better talking to you about this. My mother is very busy, but maybe I will try to talk to her tonight. What about the boys? Should I tell them anything?",237
"Good afternoon, Aunty. It has been okay, I suppose. Just school and helping my father at the shop. It is just that my father keeps insisting I should stop spending so much time drawing and focus on learning the mechanical trade properly.",237
"Some of the older men are always making comments about her, and sometimes they try to follow her home. I think they just think it is normal behavior, like it is just a joke. They say she is already a grown woman because of how she looks.",237
"Good morning, Auntie. I have been okay, but honestly, I have been feeling a bit confused lately. It is about my body. I have been getting my period for a few months now, but every time it comes, I feel like a completely different person.",237
"My younger sister cries when he starts shouting. I try to protect her, but I feel so helpless. Can you help me talk to someone who can actually do something? Thank you, Aunty. Just talking about it makes the weight feel a little lighter.",237
"I am trying to focus on my engineering goal, but my legs feel heavy and my vision is not sharp. There, I made it, but I stepped off the line four times. It was impossible to keep my balance. I felt like I had no control over my own body.",237
"They think talking about sex or health is like encouraging bad behavior. Me? I am just a student. They would tell me to mind my own business. I could try, but what about the community? Everyone in the neighborhood is gossiping about her.",237
"I usually just click 'remind me later' because I am impatient. Okay, I can do that. I have a lot of random games I do not play anymore. Wait, how is that possible? I thought sites like Facebook were secure because they are big companies.",237
"My chest has started developing, and I feel a bit self-conscious about it when I am at school. Is it normal for it to happen on one side first? I was worried that something was wrong with me because it didn’t look the same on both sides.",237
"A group of boys were teasing a girl in my class because she refused to do their errands. They called her weak and said she should know her place. It made me angry, but also a bit scared. If I speak up, will they turn on me too? Exactly.",236
"If I am positive, will you help me tell my mother? She might throw me out. Thank you, Aunty. I feel a little less like I am drowning. Can we go tomorrow? I am still scared, but I will come. Do you think things will ever be normal again?",236
"I want to support her, but I do not want to cause trouble at home. She would say it is not for girls. She would worry about her reputation. I suppose I could start by helping my sister with her chores so she has more time for her books.",236
"It feels like a big mountain to climb. Maybe I can try to tell my uncle that I appreciate the food he provides, and then see if he is in a better mood to talk. I hope he does not take it the wrong way. That makes me feel more confident.",236
"She helps sometimes, but mostly she tells me I brought this on myself. Sometimes I feel like I just want to disappear. Everyone looks at me like I am a bad girl. Yes, even my friends from school cross the street when they see me coming.",236
"They are told to be quiet and gentle. For us, it is to be aggressive, strong, and never show that we are hurting. It is like they want girls to be decorations and boys to be soldiers. Well, for the girls, it stops them from speaking up.",236
